time,TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder,Vmg
"0,00","6,00","360,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"1,00","6,00","1,00","-0,00","0,00","0,00","0,00","0,00","19,00","-0,00"
"2,00","6,00","2,00","-0,00","0,00","0,00","0,00","0,00","30,00","-0,00"
"3,00","6,00","3,00","-0,00","0,00","0,00","0,00","0,00","30,00","-0,00"
"4,00","6,00","4,00","-0,00","0,00","0,00","0,00","0,00","30,00","-0,00"
"5,00","6,00","5,00","-0,00","0,00","0,00","0,00","0,00","30,00","-0,00"
"6,00","6,00","6,00","-0,00","0,00","0,00","1,72","0,70","30,00","-0,00"
"7,00","6,00","7,00","-0,00","0,00","0,00","1,72","0,70","30,00","-0,00"
"8,00","6,00","8,00","0,00","0,00","0,00","1,72","0,70","30,00","0,00"
"9,00","6,00","9,00","0,01","0,00","0,00","1,72","0,70","30,00","0,01"
"10,00","6,00","10,00","0,03","0,00","0,00","4,01","1,11","30,00","0,03"
"11,00","6,00","11,00","0,07","0,00","0,00","4,01","1,11","30,00","0,07"
"12,00","6,00","12,00","0,12","0,00","0,01","4,01","1,11","30,00","0,12"
"13,00","6,00","13,00","0,18","0,00","0,04","4,01","1,11","30,00","0,18"
"14,00","6,00","14,00","0,26","0,00","0,11","5,73","1,11","30,00","0,25"
"15,00","6,00","15,00","0,35","0,00","0,24","5,73","1,11","30,00","0,34"
"16,00","6,00","16,00","0,45","0,00","0,47","5,73","1,11","30,00","0,43"
"17,00","6,00","17,00","0,56","0,00","0,84","5,73","1,11","30,00","0,53"
"18,00","6,00","18,00","0,65","0,00","1,37","5,73","1,22","30,00","0,62"
"19,00","6,00","19,00","0,79","0,00","2,06","8,02","0,50","30,00","0,74"
"20,00","6,00","20,00","0,92","0,00","2,90","8,02","0,50","19,00","0,86"
"21,00","6,00","21,00","1,03","0,00","3,32","8,02","0,50","2,00","0,96"
"22,00","6,00","22,00","1,13","0,00","3,16","8,02","0,50","1,00","1,05"
"23,00","6,00","23,00","1,23","0,00","3,00","9,74","1,57","1,00","1,13"
"24,00","6,00","24,00","1,35","0,00","2,87","10,31","0,50","0,00","1,23"
"25,00","6,00","25,00","1,44","0,00","2,72","10,31","0,50","0,00","1,31"
"26,00","6,00","26,00","1,51","0,00","2,55","10,31","0,50","0,00","1,36"
"27,00","6,00","27,00","1,56","0,00","2,38","10,31","0,50","-1,00","1,39"
"28,00","6,00","28,00","1,59","0,00","2,14","10,31","0,50","0,00","1,41"
"29,00","6,00","29,00","1,62","0,00","2,00","10,31","1,57","-1,00","1,42"
"30,00","6,00","30,00","1,67","0,00","1,82","12,03","0,50","0,00","1,44"
"31,00","6,00","31,00","1,70","0,00","1,68","12,03","0,50","-1,00","1,46"
"32,00","6,00","32,00","1,73","0,00","1,48","12,03","0,50","-2,00","1,47"
"33,00","6,00","33,00","1,76","0,00","1,21","12,03","0,50","-1,00","1,48"
"34,00","6,00","34,00","1,78","0,00","1,05","12,03","0,70","-2,00","1,48"
"35,00","6,00","35,00","1,81","0,00","0,85","12,03","1,57","-1,00","1,48"
"36,00","6,00","36,00","1,84","0,00","0,60","13,75","1,57","-2,00","1,49"
"37,00","6,00","37,00","1,87","0,00","0,29","13,75","1,57","-1,00","1,50"
"38,00","6,00","38,00","1,90","0,00","0,18","13,75","1,57","0,00","1,49"
"39,00","6,00","39,00","1,92","0,00","0,30","13,75","1,57","-1,00","1,50"
"40,00","6,00","40,00","1,95","0,00","0,24","13,75","1,57","-1,00","1,49"
"41,00","6,00","41,00","1,96","0,00","0,24","13,75","1,57","1,00","1,48"
"42,00","6,00","42,00","1,99","0,00","0,33","16,04","0,50","-1,00","1,48"
"43,00","6,00","43,00","2,03","0,00","0,21","16,04","0,50","0,00","1,48"
"44,00","6,00","44,00","2,05","0,00","0,32","16,04","0,50","-1,00","1,48"
"45,00","6,00","45,00","2,07","0,00","0,32","16,04","0,70","0,00","1,46"
"46,00","6,00","46,00","2,10","0,00","0,34","16,04","1,57","-1,00","1,46"
"47,00","6,00","47,00","2,11","0,00","0,24","17,19","1,57","0,00","1,44"
"48,00","6,00","48,00","2,14","0,00","0,34","17,76","1,57","-1,00","1,43"
"49,00","6,00","49,00","2,16","0,00","0,30","17,76","1,57","0,00","1,42"
"50,00","6,00","50,00","2,18","0,00","0,34","17,76","1,57","-1,00","1,40"
"51,00","6,00","51,00","2,19","0,00","0,24","17,76","1,57","0,00","1,38"
"52,00","6,00","52,00","2,20","0,00","0,34","17,76","1,57","-1,00","1,35"
"53,00","6,00","53,00","2,22","0,00","0,28","20,05","1,22","0,00","1,33"
"54,00","6,00","54,00","2,25","0,00","0,35","20,05","1,22","-1,00","1,32"
