time,TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder
"0,00","0,00","150,00","0,00","0,00","0,00","0,00","0,00","0,00"
"1,00","0,10","150,00","0,00","0,00","0,00","-11,46","2,22","0,00"
"2,00","0,20","150,00","0,00","0,00","0,00","-22,92","3,14","0,00"
"3,00","0,30","150,00","0,01","0,00","0,00","-34,38","3,84","0,00"
"4,00","0,40","150,00","0,01","0,00","0,00","-45,84","4,43","0,00"
"5,00","0,50","150,00","0,02","0,00","0,00","-57,30","4,95","0,00"
"6,00","0,60","150,00","0,03","0,00","0,00","-68,75","5,42","0,00"
"7,00","0,70","150,00","0,04","0,00","0,00","-73,91","5,17","0,00"
"8,00","0,80","150,00","0,06","0,00","0,00","-73,91","4,67","0,00"
"9,00","0,90","150,00","0,09","0,00","0,00","-73,91","4,11","0,00"
"10,00","1,00","150,00","0,12","0,00","0,00","-73,91","3,47","0,00"
"11,00","1,10","150,00","0,15","0,00","0,00","-73,91","2,67","0,00"
"12,00","1,20","150,00","0,19","0,00","0,00","-73,91","1,49","0,00"
"13,00","1,30","150,00","0,23","0,00","0,00","-73,91","1,49","0,00"
"14,00","1,40","150,00","0,28","0,00","0,00","-73,91","1,49","0,00"
"15,00","1,50","150,00","0,34","0,00","0,00","-73,91","1,49","0,00"
"16,00","1,60","150,00","0,40","0,00","0,00","-72,19","1,49","0,00"
"17,00","1,70","150,00","0,46","0,00","0,00","-72,19","1,49","0,00"
"18,00","1,80","150,00","0,52","0,00","0,00","-72,19","1,49","0,00"
"19,00","1,90","150,00","0,59","0,00","0,00","-72,19","1,49","0,00"
"20,00","2,00","150,00","0,67","0,00","0,00","-72,19","1,49","0,00"
"21,00","2,10","150,00","0,74","0,00","0,00","-70,47","0,50","0,00"
"22,00","2,20","150,00","0,81","0,00","0,00","-70,47","0,50","0,00"
"23,00","2,30","150,00","0,88","0,00","0,00","-70,47","0,50","0,00"
"24,00","2,40","150,00","0,96","0,00","0,00","-70,47","0,50","0,00"
"25,00","2,50","150,00","1,03","0,00","0,00","-70,47","0,50","0,00"
"26,00","2,60","150,00","1,10","0,00","0,00","-70,47","0,50","0,00"
"27,00","2,70","150,00","1,15","0,00","0,00","-68,18","1,57","0,00"
"28,00","2,80","150,00","1,21","0,00","0,00","-68,18","1,57","0,00"
"29,00","2,90","150,00","1,26","0,00","0,00","-68,18","1,57","0,00"
"30,00","3,00","150,00","1,31","0,00","0,00","-68,18","1,57","0,00"
"31,00","3,10","150,00","1,36","0,00","0,00","-68,18","1,57","0,00"
"32,00","3,20","150,00","1,41","0,00","0,00","-68,18","1,57","0,00"
"33,00","3,30","150,00","1,45","0,00","0,00","-68,18","1,57","0,00"
"34,00","3,40","150,00","1,49","0,00","0,00","-68,18","1,57","0,00"
"35,00","3,50","150,00","1,53","0,00","0,00","-68,18","1,57","0,00"
"36,00","3,60","150,00","1,57","0,00","0,00","-68,18","1,57","0,00"
"37,00","3,70","150,00","1,61","0,00","0,00","-68,18","1,57","0,00"
"38,00","3,80","150,00","1,65","0,00","0,00","-68,18","1,57","0,00"
"39,00","3,90","150,00","1,68","0,00","0,00","-68,18","1,57","0,00"
"40,00","4,00","150,00","1,71","0,00","0,00","-68,18","1,57","0,00"
"41,00","4,10","150,00","1,75","0,00","0,00","-68,18","1,57","0,00"
"42,00","4,20","150,00","1,78","0,00","0,00","-68,18","1,57","0,00"
"43,00","4,30","150,00","1,82","0,00","0,00","-68,18","1,57","0,00"
"44,00","4,40","150,00","1,85","0,00","0,00","-68,18","1,57","0,00"
"45,00","4,50","150,00","1,88","0,00","0,00","-68,18","1,57","0,00"
"46,00","4,60","150,00","1,92","0,00","0,00","-68,18","1,57","0,00"
"47,00","4,70","150,00","1,95","0,00","0,00","-68,18","1,57","0,00"
"48,00","4,80","150,00","1,98","0,00","0,00","-68,18","1,57","0,00"
"49,00","4,90","150,00","2,01","0,00","0,00","-68,18","1,57","0,00"
"50,00","5,00","150,00","2,03","0,00","0,00","-68,18","1,57","0,00"
"51,00","5,10","150,00","2,06","0,00","0,00","-68,18","1,57","0,00"
"52,00","5,20","150,00","2,09","0,00","0,00","-68,18","1,57","0,00"
"53,00","5,30","150,00","2,12","0,00","0,00","-68,18","1,57","0,00"
"54,00","5,40","150,00","2,15","0,00","0,00","-68,18","1,57","0,00"
"55,00","5,50","150,00","2,18","0,00","0,00","-68,18","1,57","0,00"
"56,00","5,60","150,00","2,21","0,00","0,00","-68,18","1,57","0,00"
"57,00","5,70","150,00","2,24","0,00","0,00","-68,18","1,57","0,00"
"58,00","5,80","150,00","2,27","0,00","0,00","-68,18","1,57","0,00"
"59,00","5,90","150,00","2,30","0,00","0,00","-68,18","1,57","0,00"
"60,00","6,00","150,00","2,33","0,00","0,00","-68,18","1,57","0,00"
