time,TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder,Vmg
"0,00","4,00","360,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"1,00","4,00","1,00","-0,00","0,00","0,00","0,00","0,00","19,00","-0,00"
"2,00","4,00","2,00","-0,00","0,00","0,00","0,00","0,00","30,00","-0,00"
"3,00","4,00","3,00","-0,00","0,00","0,00","0,00","0,00","30,00","-0,00"
"4,00","4,00","4,00","-0,00","0,00","0,00","0,00","0,00","30,00","-0,00"
"5,00","4,00","5,00","-0,00","0,00","0,00","0,00","0,00","30,00","-0,00"
"6,00","4,00","6,00","-0,00","0,00","0,00","1,72","0,70","30,00","-0,00"
"7,00","4,00","7,00","-0,00","0,00","0,00","1,72","0,70","30,00","-0,00"
"8,00","4,00","8,00","0,00","0,00","0,00","1,72","0,70","30,00","0,00"
"9,00","4,00","9,00","0,00","0,00","0,00","1,72","0,70","30,00","0,00"
"10,00","4,00","10,00","0,01","0,00","0,00","4,01","1,11","30,00","0,01"
"11,00","4,00","11,00","0,03","0,00","0,00","4,01","1,11","30,00","0,03"
"12,00","4,00","12,00","0,05","0,00","0,00","4,01","1,11","30,00","0,05"
"13,00","4,00","13,00","0,08","0,00","0,01","4,01","1,11","30,00","0,08"
"14,00","4,00","14,00","0,11","0,00","0,02","5,73","1,11","30,00","0,11"
"15,00","4,00","15,00","0,15","0,00","0,05","5,73","1,11","30,00","0,15"
"16,00","4,00","16,00","0,20","0,00","0,09","5,73","1,11","30,00","0,19"
"17,00","4,00","17,00","0,25","0,00","0,17","5,73","1,11","30,00","0,23"
"18,00","4,00","18,00","0,29","0,00","0,28","5,73","1,31","30,00","0,28"
"19,00","4,00","19,00","0,36","0,00","0,44","8,02","0,50","30,00","0,34"
"20,00","4,00","20,00","0,42","0,00","0,67","8,02","0,50","30,00","0,39"
"21,00","4,00","21,00","0,48","0,00","0,97","8,02","0,50","30,00","0,45"
"22,00","4,00","22,00","0,54","0,00","1,34","8,02","0,50","30,00","0,50"
"23,00","4,00","23,00","0,60","0,00","1,78","9,74","1,49","30,00","0,55"
"24,00","4,00","24,00","0,68","0,00","2,25","10,31","0,50","18,00","0,62"
"25,00","4,00","25,00","0,76","0,00","2,46","10,31","0,50","3,00","0,69"
"26,00","4,00","26,00","0,83","0,00","2,36","10,31","0,50","0,00","0,74"
"27,00","4,00","27,00","0,89","0,00","2,22","10,31","0,50","-1,00","0,79"
"28,00","4,00","28,00","0,95","0,00","2,04","10,31","1,57","0,00","0,84"
"29,00","4,00","29,00","1,02","0,00","1,89","12,03","0,50","-1,00","0,89"
"30,00","4,00","30,00","1,08","0,00","1,72","12,03","0,50","-2,00","0,93"
"31,00","4,00","31,00","1,13","0,00","1,52","12,03","0,50","-1,00","0,97"
"32,00","4,00","32,00","1,18","0,00","1,35","12,03","0,50","-2,00","1,00"
"33,00","4,00","33,00","1,23","0,00","1,17","12,03","0,50","-1,00","1,03"
"34,00","4,00","34,00","1,26","0,00","0,98","12,03","0,50","-2,00","1,05"
"35,00","4,00","35,00","1,30","0,00","0,77","12,03","1,57","-2,00","1,06"
"36,00","4,00","36,00","1,33","0,00","0,51","13,75","1,57","-3,00","1,08"
"37,00","4,00","37,00","1,37","0,00","0,23","13,75","1,57","-2,00","1,09"
"38,00","4,00","38,00","1,40","0,00","0,11","13,75","1,57","0,00","1,10"
"39,00","4,00","39,00","1,42","0,00","0,17","13,75","1,57","1,00","1,11"
"40,00","4,00","40,00","1,45","0,00","0,26","13,75","1,57","0,00","1,11"
"41,00","4,00","41,00","1,47","0,00","0,23","13,75","1,57","-1,00","1,11"
"42,00","4,00","42,00","1,49","0,00","0,17","13,75","1,57","0,00","1,11"
"43,00","4,00","43,00","1,51","0,00","0,22","16,04","0,86","-1,00","1,11"
"44,00","4,00","44,00","1,54","0,00","0,21","16,04","0,50","0,00","1,11"
"45,00","4,00","45,00","1,56","0,00","0,24","16,04","0,50","-1,00","1,10"
"46,00","4,00","46,00","1,58","0,00","0,18","16,04","0,50","0,00","1,10"
"47,00","4,00","47,00","1,60","0,00","0,23","16,04","1,57","-1,00","1,09"
"48,00","4,00","48,00","1,61","0,00","0,19","16,04","1,57","0,00","1,08"
"49,00","4,00","49,00","1,63","0,00","0,23","17,76","1,57","-1,00","1,07"
"50,00","4,00","50,00","1,65","0,00","0,19","17,76","1,57","0,00","1,06"
"51,00","4,00","51,00","1,67","0,00","0,24","17,76","1,57","-1,00","1,05"
"52,00","4,00","52,00","1,67","0,00","0,19","17,76","1,57","0,00","1,03"
"53,00","4,00","53,00","1,69","0,00","0,23","17,76","1,57","-1,00","1,02"
"54,00","4,00","54,00","1,70","0,00","0,18","17,76","1,57","0,00","1,00"
"55,00","4,00","55,00","1,71","0,00","0,23","20,05","1,57","-1,00","0,98"
"56,00","4,00","56,00","1,73","0,00","0,18","20,05","1,57","0,00","0,97"
"57,00","4,00","57,00","1,74","0,00","0,23","20,05","1,57","-1,00","0,95"
"58,00","4,00","58,00","1,75","0,00","0,19","20,05","1,57","0,00","0,93"
"59,00","4,00","59,00","1,76","0,00","0,23","20,05","1,57","-1,00","0,91"
"60,00","4,00","60,00","1,76","0,00","0,17","21,77","1,57","0,00","0,88"
"61,00","4,00","61,00","1,78","0,00","0,23","21,77","1,57","-1,00","0,86"
"62,00","4,00","62,00","1,79","0,00","0,18","21,77","1,57","0,00","0,84"
"63,00","4,00","63,00","1,79","0,00","0,23","21,77","1,57","-1,00","0,81"
"64,00","4,00","64,00","1,80","0,00","0,18","21,77","1,57","0,00","0,79"
"65,00","4,00","65,00","1,81","0,00","0,23","21,77","1,86","-1,00","0,76"
"66,00","4,00","66,00","1,82","0,00","0,17","24,06","2,43","0,00","0,74"
"67,00","4,00","67,00","1,83","0,00","0,23","24,06","2,43","-1,00","0,72"
"68,00","4,00","68,00","1,84","0,00","0,17","24,06","2,43","0,00","0,69"
"69,00","4,00","69,00","1,85","0,00","0,23","24,06","2,43","-1,00","0,66"
"70,00","4,00","70,00","1,85","0,00","0,18","24,06","2,43","0,00","0,63"
"71,00","4,00","71,00","1,86","0,00","0,23","25,78","2,43","-1,00","0,61"
"72,00","4,00","72,00","1,87","0,00","0,17","25,78","2,43","0,00","0,58"
"73,00","4,00","73,00","1,88","0,00","0,22","25,78","2,43","-1,00","0,55"
"74,00","4,00","74,00","1,88","0,00","0,17","25,78","2,43","0,00","0,52"
"75,00","4,00","75,00","1,89","0,00","0,23","25,78","2,43","-1,00","0,49"
"76,00","4,00","76,00","1,89","0,00","0,18","25,78","3,29","0,00","0,46"
"77,00","4,00","77,00","1,90","0,00","0,23","27,50","3,47","-1,00","0,43"
"78,00","4,00","78,00","1,90","0,00","0,16","27,50","3,47","0,00","0,40"
"79,00","4,00","79,00","1,90","0,00","0,22","27,50","3,47","-1,00","0,36"
"80,00","4,00","80,00","1,91","0,00","0,17","27,50","3,47","0,00","0,33"
"81,00","4,00","81,00","1,91","0,00","0,23","27,50","3,47","-1,00","0,30"
"82,00","4,00","82,00","1,91","0,00","0,18","29,79","3,47","0,00","0,27"
"83,00","4,00","83,00","1,92","0,00","0,23","29,79","3,47","-1,00","0,23"
"84,00","4,00","84,00","1,92","0,00","0,16","29,79","3,47","0,00","0,20"
"85,00","4,00","85,00","1,93","0,00","0,22","29,79","3,47","-1,00","0,17"
"86,00","4,00","86,00","1,93","0,00","0,17","29,79","3,47","0,00","0,13"
"87,00","4,00","87,00","1,93","0,00","0,22","31,51","3,47","-1,00","0,10"
"88,00","4,00","88,00","1,94","0,00","0,15","31,51","3,47","0,00","0,07"
"89,00","4,00","89,00","1,94","0,00","0,23","31,51","3,47","-1,00","0,03"
"90,00","4,00","90,00","1,94","0,00","0,18","31,51","3,47","0,00","0,00"
"91,00","4,00","91,00","1,94","0,00","0,22","31,51","3,47","-1,00","-0,03"
"92,00","4,00","92,00","1,95","0,00","0,14","33,80","3,47","0,00","-0,07"
"93,00","4,00","93,00","1,95","0,00","0,22","33,80","3,47","-1,00","-0,10"
"94,00","4,00","94,00","1,96","0,00","0,18","33,80","3,47","0,00","-0,14"
"95,00","4,00","95,00","1,96","0,00","0,23","33,80","3,47","-1,00","-0,17"
"96,00","4,00","96,00","1,97","0,00","0,16","33,80","3,47","0,00","-0,21"
"97,00","4,00","97,00","1,97","0,00","0,23","35,52","3,47","-1,00","-0,24"
"98,00","4,00","98,00","1,97","0,00","0,17","35,52","3,47","0,00","-0,27"
"99,00","4,00","99,00","1,98","0,00","0,22","35,52","3,47","-1,00","-0,31"
"100,00","4,00","100,00","1,98","0,00","0,15","35,52","3,47","0,00","-0,34"
"101,00","4,00","101,00","1,97","0,00","0,22","37,24","3,61","-1,00","-0,38"
"102,00","4,00","102,00","1,98","0,00","0,16","37,82","3,61","0,00","-0,41"
"103,00","4,00","103,00","1,98","0,00","0,21","37,82","3,61","-1,00","-0,45"
"104,00","4,00","104,00","1,98","0,00","0,14","37,82","3,61","0,00","-0,48"
"105,00","4,00","105,00","1,98","0,00","0,22","37,82","3,61","-1,00","-0,51"
"106,00","4,00","106,00","1,98","0,00","0,18","39,53","3,61","0,00","-0,55"
"107,00","4,00","107,00","1,98","0,00","0,22","39,53","3,61","-1,00","-0,58"
"108,00","4,00","108,00","1,98","0,00","0,14","39,53","3,61","0,00","-0,61"
"109,00","4,00","109,00","1,98","0,00","0,22","39,53","3,61","-1,00","-0,64"
"110,00","4,00","110,00","1,98","0,00","0,17","41,83","3,61","0,00","-0,68"
"111,00","4,00","111,00","1,98","0,00","0,22","41,83","3,61","-1,00","-0,71"
"112,00","4,00","112,00","1,98","0,00","0,15","41,83","3,61","0,00","-0,74"
"113,00","4,00","113,00","1,98","0,00","0,22","41,83","3,61","-1,00","-0,77"
"114,00","4,00","114,00","1,97","0,00","0,16","43,54","3,61","0,00","-0,80"
"115,00","4,00","115,00","1,97","0,00","0,22","43,54","3,61","-1,00","-0,83"
"116,00","4,00","116,00","1,97","0,00","0,15","43,54","3,61","0,00","-0,86"
"117,00","4,00","117,00","1,97","0,00","0,21","43,54","3,61","-1,00","-0,89"
"118,00","4,00","118,00","1,96","0,00","0,16","45,84","3,61","0,00","-0,92"
"119,00","4,00","119,00","1,97","0,00","0,21","45,84","3,61","-1,00","-0,95"
"120,00","4,00","120,00","1,96","0,00","0,14","45,84","3,61","0,00","-0,98"
"121,00","4,00","121,00","1,96","0,00","0,22","45,84","3,61","-1,00","-1,01"
"122,00","4,00","122,00","1,96","0,00","0,17","47,56","3,61","0,00","-1,04"
"123,00","4,00","123,00","1,95","0,00","0,21","47,56","3,61","-1,00","-1,06"
"124,00","4,00","124,00","1,95","0,00","0,13","47,56","3,61","0,00","-1,09"
"125,00","4,00","125,00","1,95","0,00","0,21","47,56","3,61","-1,00","-1,12"
"126,00","4,00","126,00","1,95","0,00","0,17","49,85","3,61","0,00","-1,14"
"127,00","4,00","127,00","1,94","0,00","0,22","49,85","3,61","-1,00","-1,17"
"128,00","4,00","128,00","1,94","0,00","0,15","49,85","3,61","0,00","-1,19"
"129,00","4,00","129,00","1,93","0,00","0,22","51,57","3,61","-1,00","-1,22"
"130,00","4,00","130,00","1,93","0,00","0,16","51,57","3,61","0,00","-1,24"
"131,00","4,00","131,00","1,93","0,00","0,21","51,57","3,61","-1,00","-1,26"
"132,00","4,00","132,00","1,92","0,00","0,15","52,14","3,61","0,00","-1,28"
"133,00","4,00","133,00","1,92","0,00","0,21","53,86","3,61","-1,00","-1,31"
"134,00","4,00","134,00","1,91","0,00","0,15","53,86","3,61","0,00","-1,33"
"135,00","4,00","135,00","1,91","0,00","0,20","53,86","3,61","-1,00","-1,35"
"136,00","4,00","136,00","1,90","0,00","0,14","55,58","3,61","0,00","-1,37"
"137,00","4,00","137,00","1,89","0,00","0,20","55,58","3,61","-1,00","-1,39"
"138,00","4,00","138,00","1,88","0,00","0,15","55,58","3,61","0,00","-1,40"
