TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder
"5,00","0,00","1,80","60,00","60,00","-11,46","2,22","0,00"
"5,00","0,00","1,86","60,00","60,00","-22,92","3,02","0,00"
"5,00","0,00","1,95","60,00","60,00","-22,92","3,02","0,00"
"5,00","0,00","2,00","60,00","60,00","-22,92","3,02","0,00"
"5,00","0,00","2,04","60,00","60,00","-22,92","3,02","0,00"
"5,00","0,00","2,06","60,00","60,00","-22,92","3,02","0,00"
"5,00","0,00","2,07","60,00","60,00","-22,92","3,02","0,00"
"5,00","0,00","2,07","60,00","60,00","-22,92","3,02","0,00"
"5,00","0,00","2,08","60,00","60,00","-22,92","3,02","0,00"
"5,00","0,00","2,08","60,00","60,00","-22,92","3,02","0,00"
"5,00","0,00","2,08","10,00","58,95","-22,92","3,02","-20,00"
"5,00","0,00","2,07","10,00","54,16","-22,92","2,80","-5,00"
"5,00","0,00","2,05","10,00","49,54","-22,92","1,72","4,00"
"5,00","0,00","2,01","10,00","46,63","-21,20","1,49","1,00"
"5,00","0,00","1,97","10,00","44,35","-21,20","1,49","1,00"
"5,00","0,00","1,94","10,00","42,52","-19,48","1,11","1,00"
"5,00","0,00","1,91","10,00","41,07","-17,19","0,50","1,00"
"5,00","0,00","1,87","10,00","39,94","-17,19","0,50","1,00"
"5,00","0,00","1,84","10,00","39,08","-17,19","0,50","1,00"
"5,00","0,00","1,82","10,00","38,46","-15,47","0,50","1,00"
"5,00","0,00","1,79","10,00","38,06","-15,47","0,50","-1,00"
"5,00","0,00","1,77","10,00","37,61","-15,47","0,50","1,00"
"5,00","0,00","1,76","10,00","37,26","-15,47","0,50","1,00"
"5,00","0,00","1,75","10,00","37,10","-15,47","0,50","-1,00"
"5,00","0,00","1,74","10,00","36,91","-15,47","0,50","-1,00"
"5,00","0,00","1,73","10,00","36,69","-15,47","0,50","1,00"
"5,00","0,00","1,72","10,00","36,65","-15,47","0,50","-1,00"
"5,00","0,00","1,72","10,00","36,56","-15,47","0,50","-1,00"
"5,00","0,00","1,72","10,00","36,42","-15,47","0,50","1,00"
"5,00","0,00","1,71","10,00","36,45","-15,47","0,50","-1,00"
"5,00","0,00","1,71","10,00","36,42","-15,47","0,50","-1,00"
"5,00","0,00","1,72","10,00","36,31","-15,47","0,50","1,00"
"5,00","0,00","1,72","10,00","36,36","-15,47","0,50","-1,00"
"5,00","0,00","1,73","10,00","36,35","-15,47","0,50","-1,00"
"5,00","0,00","1,73","10,00","36,27","-15,47","0,50","1,00"
"5,00","0,00","1,73","10,00","36,35","-15,47","0,50","-1,00"
"5,00","0,00","1,73","10,00","36,32","-15,47","0,50","-1,00"
"5,00","0,00","1,73","10,00","36,27","-15,47","0,50","1,00"
"5,00","0,00","1,73","10,00","36,36","-15,47","0,50","-1,00"
"5,00","0,00","1,73","10,00","36,31","-15,47","0,50","0,00"
"5,00","0,00","1,73","10,00","36,28","-15,47","0,50","1,00"
"5,00","0,00","1,73","10,00","36,38","-15,47","0,50","-1,00"
"5,00","0,00","1,73","10,00","36,33","-15,47","0,50","0,00"
"5,00","0,00","1,73","10,00","36,30","-15,47","0,50","1,00"
"5,00","0,00","1,73","10,00","36,40","-15,47","0,50","-1,00"
"5,00","0,00","1,74","10,00","36,35","-15,47","0,50","0,00"
"5,00","0,00","1,73","10,00","36,32","-15,47","0,50","1,00"
"5,00","0,00","1,74","10,00","36,42","-15,47","0,50","-1,00"
"5,00","0,00","1,74","10,00","36,37","-15,47","0,50","0,00"
"5,00","0,00","1,74","10,00","36,33","-15,47","0,50","1,00"
"5,00","0,00","1,74","10,00","36,44","-15,47","0,50","-1,00"
"5,00","0,00","1,74","10,00","36,38","-15,47","0,50","0,00"
"5,00","0,00","1,74","10,00","36,35","-15,47","0,50","1,00"
"5,00","0,00","1,74","10,00","36,45","-15,47","0,50","-1,00"
"5,00","0,00","1,74","10,00","36,40","-15,47","0,50","1,00"
"5,00","0,00","1,74","10,00","36,39","-15,47","0,50","1,00"
"5,00","0,00","1,74","10,00","36,48","-15,47","0,50","-1,00"
"5,00","0,00","1,74","10,00","36,40","-15,47","0,50","1,00"
"5,00","0,00","1,74","10,00","36,43","-15,47","0,50","1,00"
"5,00","0,00","1,73","10,00","36,51","-15,47","0,50","-1,00"
