time,TWS,TWA,SOG,set COG,actual COG,sail trim,sail twist,rudder,Vmg
"0,00","2,00","360,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"1,00","2,00","1,00","-0,00","0,00","0,00","0,00","0,00","19,00","-0,00"
"2,00","2,00","2,00","-0,00","0,00","0,00","0,00","0,00","30,00","-0,00"
"3,00","2,00","3,00","-0,00","0,00","0,00","0,00","0,00","30,00","-0,00"
"4,00","2,00","4,00","-0,00","0,00","0,00","0,00","0,00","30,00","-0,00"
"5,00","2,00","5,00","-0,00","0,00","0,00","0,00","0,00","30,00","-0,00"
"6,00","2,00","6,00","-0,00","0,00","0,00","1,72","0,70","30,00","-0,00"
"7,00","2,00","7,00","-0,00","0,00","0,00","1,72","0,70","30,00","-0,00"
"8,00","2,00","8,00","0,00","0,00","0,00","1,72","0,70","30,00","0,00"
"9,00","2,00","9,00","0,00","0,00","0,00","1,72","0,70","30,00","0,00"
"10,00","2,00","10,00","0,00","0,00","0,00","4,01","1,11","30,00","0,00"
"11,00","2,00","11,00","0,01","0,00","0,00","4,01","1,11","30,00","0,01"
"12,00","2,00","12,00","0,01","0,00","0,00","4,01","1,11","30,00","0,01"
"13,00","2,00","13,00","0,02","0,00","0,00","4,01","1,11","30,00","0,02"
"14,00","2,00","14,00","0,03","0,00","0,00","5,73","1,11","30,00","0,03"
"15,00","2,00","15,00","0,04","0,00","0,00","5,73","1,11","30,00","0,04"
"16,00","2,00","16,00","0,05","0,00","0,01","5,73","1,11","30,00","0,05"
"17,00","2,00","17,00","0,06","0,00","0,01","5,73","1,11","30,00","0,06"
"18,00","2,00","18,00","0,07","0,00","0,02","8,02","1,49","30,00","0,07"
"19,00","2,00","19,00","0,09","0,00","0,03","8,02","1,49","30,00","0,08"
"20,00","2,00","20,00","0,10","0,00","0,04","8,02","1,49","30,00","0,10"
"21,00","2,00","21,00","0,12","0,00","0,06","8,02","1,49","30,00","0,11"
"22,00","2,00","22,00","0,13","0,00","0,09","8,02","1,49","30,00","0,12"
"23,00","2,00","23,00","0,15","0,00","0,12","12,03","1,22","30,00","0,14"
"24,00","2,00","24,00","0,17","0,00","0,16","10,31","0,50","30,00","0,16"
"25,00","2,00","25,00","0,19","0,00","0,22","10,31","0,50","30,00","0,17"
"26,00","2,00","26,00","0,21","0,00","0,28","10,31","0,50","30,00","0,19"
"27,00","2,00","27,00","0,23","0,00","0,36","10,31","1,11","30,00","0,21"
"28,00","2,00","28,00","0,26","0,00","0,46","12,03","0,50","30,00","0,23"
"29,00","2,00","29,00","0,28","0,00","0,57","12,03","0,50","30,00","0,25"
"30,00","2,00","30,00","0,31","0,00","0,70","12,03","0,50","30,00","0,27"
"31,00","2,00","31,00","0,33","0,00","0,85","12,03","0,50","26,00","0,29"
"32,00","2,00","32,00","0,36","0,00","0,98","12,03","1,11","7,00","0,31"
"33,00","2,00","33,00","0,39","0,00","0,98","13,75","1,57","-7,00","0,33"
"34,00","2,00","34,00","0,42","0,00","0,88","13,75","1,57","-10,00","0,35"
"35,00","2,00","35,00","0,45","0,00","0,72","13,75","1,57","-12,00","0,37"
"36,00","2,00","36,00","0,49","0,00","0,54","13,75","1,57","-14,00","0,39"
"37,00","2,00","37,00","0,52","0,00","0,31","13,75","1,57","-11,00","0,41"
"38,00","2,00","38,00","0,55","0,00","0,14","13,75","1,57","-5,00","0,43"
"39,00","2,00","39,00","0,58","0,00","0,06","13,75","1,57","-1,00","0,45"
"40,00","2,00","40,00","0,61","0,00","0,03","13,75","1,57","0,00","0,47"
"41,00","2,00","41,00","0,64","0,00","0,05","16,04","0,50","1,00","0,49"
"42,00","2,00","42,00","0,68","0,00","0,06","16,04","0,50","0,00","0,50"
"43,00","2,00","43,00","0,71","0,00","0,07","16,04","0,50","-1,00","0,52"
"44,00","2,00","44,00","0,74","0,00","0,07","16,04","0,50","0,00","0,53"
"45,00","2,00","45,00","0,77","0,00","0,08","16,04","0,50","-1,00","0,54"
"46,00","2,00","46,00","0,80","0,00","0,07","16,04","1,57","0,00","0,56"
"47,00","2,00","47,00","0,83","0,00","0,08","16,04","1,57","-1,00","0,56"
"48,00","2,00","48,00","0,85","0,00","0,07","16,04","1,57","0,00","0,57"
"49,00","2,00","49,00","0,88","0,00","0,08","17,76","1,57","-1,00","0,58"
"50,00","2,00","50,00","0,90","0,00","0,07","17,76","1,57","0,00","0,58"
"51,00","2,00","51,00","0,93","0,00","0,08","17,76","1,57","-1,00","0,58"
"52,00","2,00","52,00","0,95","0,00","0,07","17,76","1,57","0,00","0,58"
"53,00","2,00","53,00","0,97","0,00","0,08","17,76","1,57","-1,00","0,58"
"54,00","2,00","54,00","0,99","0,00","0,07","17,76","1,57","0,00","0,58"
"55,00","2,00","55,00","1,00","0,00","0,09","17,76","1,57","-1,00","0,58"
"56,00","2,00","56,00","1,02","0,00","0,08","17,76","1,57","0,00","0,57"
"57,00","2,00","57,00","1,03","0,00","0,09","20,05","2,22","-1,00","0,56"
"58,00","2,00","58,00","1,05","0,00","0,07","20,05","2,22","0,00","0,56"
"59,00","2,00","59,00","1,06","0,00","0,09","20,05","2,22","-1,00","0,55"
"60,00","2,00","60,00","1,07","0,00","0,07","20,05","2,22","0,00","0,54"
"61,00","2,00","61,00","1,09","0,00","0,09","20,05","2,22","-1,00","0,53"
"62,00","2,00","62,00","1,09","0,00","0,07","20,05","2,22","0,00","0,51"
"63,00","2,00","63,00","1,10","0,00","0,09","20,05","2,22","-1,00","0,50"
"64,00","2,00","64,00","1,11","0,00","0,07","21,77","2,22","0,00","0,49"
"65,00","2,00","65,00","1,12","0,00","0,09","21,77","2,22","-1,00","0,47"
"66,00","2,00","66,00","1,13","0,00","0,07","21,77","2,22","0,00","0,46"
"67,00","2,00","67,00","1,14","0,00","0,09","21,77","2,22","-1,00","0,44"
"68,00","2,00","68,00","1,14","0,00","0,07","21,77","2,22","0,00","0,43"
"69,00","2,00","69,00","1,15","0,00","0,09","21,77","2,76","-1,00","0,41"
"70,00","2,00","70,00","1,15","0,00","0,07","23,49","3,47","0,00","0,39"
"71,00","2,00","71,00","1,16","0,00","0,09","24,06","2,72","-1,00","0,38"
"72,00","2,00","72,00","1,16","0,00","0,07","24,06","2,48","0,00","0,36"
"73,00","2,00","73,00","1,17","0,00","0,09","24,06","2,48","-1,00","0,34"
"74,00","2,00","74,00","1,17","0,00","0,07","24,06","2,48","0,00","0,32"
"75,00","2,00","75,00","1,18","0,00","0,09","24,06","2,48","-1,00","0,30"
"76,00","2,00","76,00","1,18","0,00","0,07","25,21","2,48","0,00","0,29"
"77,00","2,00","77,00","1,19","0,00","0,09","25,78","2,48","-1,00","0,27"
"78,00","2,00","78,00","1,19","0,00","0,07","25,78","2,48","0,00","0,25"
"79,00","2,00","79,00","1,19","0,00","0,09","25,78","2,48","-1,00","0,23"
"80,00","2,00","80,00","1,20","0,00","0,07","25,78","3,02","0,00","0,21"
"81,00","2,00","81,00","1,20","0,00","0,09","25,78","3,50","-1,00","0,19"
"82,00","2,00","82,00","1,20","0,00","0,07","27,50","3,32","0,00","0,17"
"83,00","2,00","83,00","1,20","0,00","0,09","27,50","3,32","-1,00","0,15"
"84,00","2,00","84,00","1,21","0,00","0,07","27,50","3,32","0,00","0,13"
"85,00","2,00","85,00","1,21","0,00","0,09","27,50","3,32","-1,00","0,11"
"86,00","2,00","86,00","1,21","0,00","0,07","27,50","3,32","0,00","0,08"
"87,00","2,00","87,00","1,21","0,00","0,09","27,50","3,32","-1,00","0,06"
"88,00","2,00","88,00","1,21","0,00","0,07","29,79","3,43","0,00","0,04"
"89,00","2,00","89,00","1,21","0,00","0,09","29,79","3,43","-1,00","0,02"
"90,00","2,00","90,00","1,21","0,00","0,07","29,79","3,43","0,00","0,00"
"91,00","2,00","91,00","1,21","0,00","0,09","29,79","3,43","-1,00","-0,02"
"92,00","2,00","92,00","1,21","0,00","0,07","29,79","3,50","0,00","-0,04"
"93,00","2,00","93,00","1,22","0,00","0,09","31,51","3,74","-1,00","-0,06"
"94,00","2,00","94,00","1,22","0,00","0,06","31,51","3,74","0,00","-0,08"
"95,00","2,00","95,00","1,22","0,00","0,09","31,51","3,74","-1,00","-0,11"
"96,00","2,00","96,00","1,22","0,00","0,07","31,51","3,74","0,00","-0,13"
"97,00","2,00","97,00","1,22","0,00","0,09","31,51","3,74","-1,00","-0,15"
"98,00","2,00","98,00","1,22","0,00","0,06","33,80","3,74","0,00","-0,17"
"99,00","2,00","99,00","1,22","0,00","0,09","33,80","3,74","-1,00","-0,19"
"100,00","2,00","100,00","1,22","0,00","0,07","33,80","3,74","0,00","-0,21"
"101,00","2,00","101,00","1,22","0,00","0,09","33,80","3,74","-1,00","-0,23"
"102,00","2,00","102,00","1,22","0,00","0,07","33,80","3,74","0,00","-0,25"
"103,00","2,00","103,00","1,23","0,00","0,09","35,52","3,74","-1,00","-0,28"
"104,00","2,00","104,00","1,23","0,00","0,07","35,52","3,74","0,00","-0,30"
"105,00","2,00","105,00","1,23","0,00","0,09","35,52","3,74","-1,00","-0,32"
"106,00","2,00","106,00","1,23","0,00","0,07","35,52","3,74","0,00","-0,34"
"107,00","2,00","107,00","1,23","0,00","0,09","35,52","3,74","-1,00","-0,36"
"108,00","2,00","108,00","1,23","0,00","0,06","37,82","3,74","0,00","-0,38"
"109,00","2,00","109,00","1,23","0,00","0,09","37,82","3,74","-1,00","-0,40"
"110,00","2,00","110,00","1,22","0,00","0,07","37,82","3,74","0,00","-0,42"
"111,00","2,00","111,00","1,22","0,00","0,09","37,82","3,74","-1,00","-0,44"
"112,00","2,00","112,00","1,22","0,00","0,06","39,53","3,74","0,00","-0,46"
"113,00","2,00","113,00","1,22","0,00","0,09","39,53","3,74","-1,00","-0,48"
"114,00","2,00","114,00","1,22","0,00","0,07","39,53","3,74","0,00","-0,50"
"115,00","2,00","115,00","1,22","0,00","0,09","39,53","3,74","-1,00","-0,51"
"116,00","2,00","116,00","1,21","0,00","0,06","41,83","3,74","0,00","-0,53"
"117,00","2,00","117,00","1,21","0,00","0,09","41,83","3,74","-1,00","-0,55"
"118,00","2,00","118,00","1,21","0,00","0,07","41,83","3,74","0,00","-0,57"
"119,00","2,00","119,00","1,21","0,00","0,09","41,83","3,74","-1,00","-0,59"
"120,00","2,00","120,00","1,21","0,00","0,06","43,54","3,74","0,00","-0,60"
"121,00","2,00","121,00","1,21","0,00","0,09","43,54","3,74","-1,00","-0,62"
"122,00","2,00","122,00","1,20","0,00","0,06","43,54","3,74","0,00","-0,64"
"123,00","2,00","123,00","1,20","0,00","0,09","43,54","3,74","-1,00","-0,65"
"124,00","2,00","124,00","1,20","0,00","0,07","45,84","3,87","0,00","-0,67"
"125,00","2,00","125,00","1,20","0,00","0,09","45,84","3,87","-1,00","-0,69"
"126,00","2,00","126,00","1,19","0,00","0,06","45,84","3,87","0,00","-0,70"
"127,00","2,00","127,00","1,19","0,00","0,09","45,84","3,87","-1,00","-0,72"
"128,00","2,00","128,00","1,19","0,00","0,07","47,56","4,05","0,00","-0,73"
"129,00","2,00","129,00","1,19","0,00","0,09","47,56","4,05","-1,00","-0,75"
"130,00","2,00","130,00","1,18","0,00","0,06","47,56","4,05","0,00","-0,76"
"131,00","2,00","131,00","1,18","0,00","0,09","49,85","4,26","-1,00","-0,77"
"132,00","2,00","132,00","1,18","0,00","0,07","49,85","4,26","0,00","-0,79"
"133,00","2,00","133,00","1,17","0,00","0,09","49,85","4,26","-1,00","-0,80"
"134,00","2,00","134,00","1,17","0,00","0,06","50,42","4,40","0,00","-0,81"
"135,00","2,00","135,00","1,17","0,00","0,09","51,57","4,46","-1,00","-0,83"
"136,00","2,00","136,00","1,16","0,00","0,07","51,57","4,46","0,00","-0,84"
"137,00","2,00","137,00","1,16","0,00","0,08","51,57","4,51","-1,00","-0,85"
"138,00","2,00","138,00","1,16","0,00","0,06","53,86","4,59","0,00","-0,86"
"139,00","2,00","139,00","1,15","0,00","0,08","53,86","4,59","-1,00","-0,87"
"140,00","2,00","140,00","1,15","0,00","0,06","53,86","4,59","0,00","-0,88"
"141,00","2,00","141,00","1,14","0,00","0,08","55,58","4,59","-1,00","-0,89"
"142,00","2,00","142,00","1,14","0,00","0,06","55,58","4,59","0,00","-0,90"
"143,00","2,00","143,00","1,13","0,00","0,08","56,15","4,59","-1,00","-0,90"
"144,00","2,00","144,00","1,13","0,00","0,06","57,87","4,59","0,00","-0,91"
"145,00","2,00","145,00","1,12","0,00","0,08","57,87","4,59","-1,00","-0,92"
"146,00","2,00","146,00","1,12","0,00","0,06","59,59","4,59","0,00","-0,92"
"147,00","2,00","147,00","1,11","0,00","0,08","59,59","4,59","-1,00","-0,93"
"148,00","2,00","148,00","1,10","0,00","0,06","59,59","4,59","0,00","-0,93"
"149,00","2,00","149,00","1,09","0,00","0,08","61,88","4,48","-1,00","-0,94"
"150,00","2,00","150,00","1,09","0,00","0,06","61,88","4,48","0,00","-0,94"
"151,00","2,00","151,00","1,08","0,00","0,08","63,60","4,48","-1,00","-0,94"
"152,00","2,00","152,00","1,07","0,00","0,06","63,60","4,48","0,00","-0,95"
"153,00","2,00","153,00","1,07","0,00","0,08","63,60","4,48","-1,00","-0,95"
"154,00","2,00","154,00","1,06","0,00","0,06","65,89","4,48","0,00","-0,95"
"155,00","2,00","155,00","1,05","0,00","0,08","65,89","4,48","-1,00","-0,96"
"156,00","2,00","156,00","1,05","0,00","0,06","67,61","4,48","0,00","-0,96"
"157,00","2,00","157,00","1,05","0,00","0,08","67,61","4,48","-1,00","-0,96"
