SOG,TWS,AWS at foot,AWS at head,TWA,AWA at foot,AWA at head
"0,00","5,00","5,98","7,30","45,00","45,23","45,19"
"0,10","5,00","6,07","7,40","45,00","44,31","44,43"
"0,20","5,00","6,15","7,47","45,00","43,66","43,90"
"0,30","5,00","6,22","7,54","45,00","43,02","43,37"
"0,40","5,00","6,29","7,61","45,00","42,40","42,85"
"0,50","5,00","6,37","7,69","45,00","41,79","42,34"
"0,60","5,00","6,44","7,76","45,00","41,20","41,84"
"0,70","5,00","6,52","7,84","45,00","40,62","41,36"
"0,80","5,00","6,59","7,91","45,00","40,05","40,87"
"0,90","5,00","6,67","7,99","45,00","39,50","40,41"
"1,00","5,00","6,75","8,06","45,00","38,96","39,95"
"1,10","5,00","6,83","8,14","45,00","38,43","39,49"
"1,20","5,00","6,90","8,22","45,00","37,92","39,05"
"1,30","5,00","6,98","8,30","45,00","37,41","38,62"
"1,40","5,00","7,06","8,37","45,00","36,92","38,19"
"1,50","5,00","7,14","8,45","45,00","36,45","37,78"
"1,60","5,00","7,22","8,53","45,00","35,98","37,37"
"1,70","5,00","7,30","8,61","45,00","35,53","36,97"
"1,80","5,00","7,38","8,69","45,00","35,08","36,58"
"1,90","5,00","7,46","8,77","45,00","34,65","36,20"
"2,00","5,00","7,54","8,84","45,00","34,23","35,83"
"2,10","5,00","7,62","8,92","45,00","33,82","35,46"
"2,20","5,00","7,70","9,00","45,00","33,41","35,10"
"2,30","5,00","7,79","9,08","45,00","33,02","34,75"
"2,40","5,00","7,87","9,16","45,00","32,64","34,41"
"2,50","5,00","7,95","9,24","45,00","32,27","34,07"
"2,60","5,00","8,03","9,32","45,00","31,90","33,74"
"2,70","5,00","8,11","9,40","45,00","31,55","33,42"
"2,80","5,00","8,19","9,48","45,00","31,20","33,11"
"2,90","5,00","8,27","9,56","45,00","30,86","32,80"
"3,00","5,00","8,35","9,64","45,00","30,53","32,50"
