0	0,2	0,1
1	0,4	0,1
2	0,5	0,1
3	0,65	0,11
4	0,8	0,12
5	0,9	0,13
6	1,0	0,14
7	1,1	0,16
8	1,2	0,18
9	1,25	0,2
10	1,3	0,23
11	1,31	0,26
12	1,32	0,29
13	1,33	0,329
14	1,34	0,356
15	1,35	0,373
16	1,36	0,391
17	1,37	0,409
18	1,38	0,429
19	1,39	0,448
20	1,4	0,464
21	1,41	0,49
22	1,42	0,52
23	1,43	0,55
24	1,44	0,58
25	1,45	0,62
26	1,46	0,65
27	1,47	0,69
28	1,48	0,72
29	1,49	0,76
30	1,5	0,8
31	1,5	0,85
32	1,5	0,89
33	1,5	0,93
34	1,5	0,97
35	1,5	1,01
36	1,5	1,05
37	1,51	1,09
38	1,51	1,13
39	1,52	1,17
40	1,52	1,21
41	1,51	1,24
42	1,5	1,27
43	1,49	1,3
44	1,48	1,33
45	1,47	1,36
46	1,46	1,39
47	1,44	1,42
48	1,43	1,45
49	1,42	1,48
50	1,4	1,51
51	1,38	1,54
52	1,36	1,57
53	1,34	1,6
54	1,32	1,62
55	1,3	1,64
56	1,28	1,66
57	1,25	1,68
58	1,23	1,7
59	1,21	1,71
60	1,18	1,72
61	1,13	1,71
62	1,09	1,7
63	1,05	1,69
64	1	1,68
65	0,95	1,67
66	0,89	1,66
67	0,83	1,65
68	0,77	1,64
69	0,71	1,63
70	0,65	1,62
71	0,66	1,63
72	0,62	1,65
73	0,58	1,67
74	0,54	1,69
75	0,5	1,71
76	0,47	1,72
77	0,44	1,73
78	0,41	1,74
79	0,39	1,75
80	0,37	1,76
81	0,35	1,76
82	0,33	1,77
83	0,31	1,77
84	0,29	1,77
85	0,27	1,77
86	0,25	1,78
87	0,23	1,78
88	0,2	1,78
89	0,17	1,79
90	0,14	1,79
